progress,loss,accuracy
9.68,1.0109,0.57
9.69,1.1493,0.57
9.7,1.2139,0.57
9.71,1.2139,0.56
9.72,0.784,0.6
9.73,0.7827,0.6
9.74,1.3664,0.58
9.75,1.3664,0.55
9.76,1.504,0.6
9.77,0.9948,0.57
9.78,0.9544,0.58
9.79,0.6804,0.58
9.79,0.9265,0.62
9.8,1.0512,0.58
9.81,1.0512,0.55
9.82,1.0512,0.6
9.83,1.1137,0.55
9.84,1.2066,0.58
9.85,1.1137,0.6
9.86,0.9355,0.56
9.87,1.2524,0.6
9.88,1.184,0.6
9.89,1.2524,0.56
9.9,0.9952,0.58
9.91,0.9952,0.61
9.92,1.3195,0.6
9.92,1.3247,0.62
9.93,1.3195,0.58
9.94,0.8322,0.57
9.95,0.8574,0.55
9.96,0.963,0.59
9.97,1.1947,0.59
9.98,1.3194,0.58
9.99,1.3374,0.58
10.0,1.3194,0.59
