progress,loss,accuracy
8.01,0.0001,0.93
8.02,0.0,0.93
8.03,0.0,0.93
8.04,0.0,0.94
8.04,0.0,0.94
8.05,0.0,0.94
8.06,0.0,0.97
8.07,0.0,0.96
8.08,0.0001,0.94
8.09,0.0,0.94
8.1,0.0,0.94
8.11,0.0,0.92
8.12,0.0,0.94
8.13,0.0,0.94
8.14,0.0,0.96
8.15,0.0,0.94
8.16,0.0,0.96
8.17,0.0,0.94
8.17,0.0,0.96
8.18,0.0,0.93
8.19,0.0,0.94
8.2,0.0,0.94
8.21,0.0,0.96
8.22,0.0,0.93
8.23,0.0,0.94
8.24,0.0,0.93
8.25,0.0,0.94
8.26,0.0,0.93
8.27,0.0,0.96
8.28,0.0,0.93
8.29,0.0,0.94
8.29,0.0,0.93
8.3,0.0,0.94
8.31,0.0,0.94
8.32,0.0,0.96
8.33,0.0,0.96
8.34,0.0,0.97
8.35,0.0,0.94
8.36,0.0,0.93
8.37,0.0,0.94
8.38,0.0,0.94
8.39,0.0,0.96
8.4,0.0,0.96
8.41,0.0,0.97
8.42,0.0,0.97
8.42,0.0,0.96
8.43,0.0,0.96
8.44,0.0,0.93
8.45,0.0,0.97
8.46,0.0,0.94
8.47,0.0,0.96
8.48,0.0,0.94
8.49,0.0001,0.94
8.5,0.0001,0.96
8.51,0.0001,0.96
8.52,0.0,0.94
8.53,0.0,0.96
8.54,0.0,0.96
8.54,0.0,0.96
8.55,0.0,0.96
8.56,0.0,0.96
8.57,0.0,0.93
8.58,0.0,0.93
8.59,0.0,0.93
8.6,0.0,0.96
8.61,0.0,0.93
8.62,0.0,0.94
8.63,0.0,0.94
8.64,0.0,0.94
8.65,0.0002,0.93
8.66,0.0,0.94
8.67,0.0,0.96
8.67,0.0,0.94
8.68,0.0,0.94
8.69,0.0,0.94
8.7,0.0,0.94
8.71,0.0,0.94
8.72,0.0001,0.94
8.73,0.0,0.93
8.74,0.0,0.94
8.75,0.0,0.96
8.76,0.0,0.94
8.77,0.0,0.94
8.78,0.0,0.93
8.79,0.0,0.93
8.79,0.0,0.94
8.8,0.0,0.94
8.81,0.0,0.94
8.82,0.0,0.94
8.83,0.0,0.93
8.84,0.0,0.94
8.85,0.0,0.94
8.86,0.0,0.94
8.87,0.0,0.94
8.88,0.0,0.96
8.89,0.0,0.94
8.9,0.0,0.94
8.91,0.0,0.94
8.92,0.0,0.94
8.92,0.0,0.93
8.93,0.0,0.96
8.94,0.0,0.94
8.95,0.0,0.94
8.96,0.0,0.92
8.97,0.0,0.96
8.98,0.0,0.94
8.99,0.0,0.93
9.0,0.0,0.94
9.01,0.0,0.94
9.02,0.0,0.93
9.03,0.0,0.94
9.04,0.0,0.94
9.04,0.0,0.94
9.05,0.0,0.93
9.06,0.0,0.93
9.07,0.0,0.97
9.08,0.0,0.94
9.09,0.0,0.94
9.1,0.0,0.94
9.11,0.0,0.93
9.12,0.0,0.96
9.13,0.0,0.93
9.14,0.0,0.97
9.15,0.0,0.93
9.16,0.0,0.93
9.17,0.0,0.94
9.17,0.0,0.94
9.18,0.0,0.94
9.19,0.0,0.93
9.2,0.0,0.96
9.21,0.0,0.96
9.22,0.0,0.93
9.23,0.0,0.93
9.24,0.0,0.94
9.25,0.0,0.94
9.26,0.0,0.94
9.27,0.0,0.94
9.28,0.0,0.94
9.29,0.0,0.94
9.29,0.0,0.96
9.3,0.0,0.97
9.31,0.0,0.96
9.32,0.0,0.96
9.33,0.0001,0.96
9.34,0.0,0.94
9.35,0.0,0.96
9.36,0.0,0.96
9.37,0.0,0.94
9.38,0.0,0.94
9.39,0.0,0.94
9.4,0.0,0.94
9.41,0.0,0.96
9.42,0.0,0.96
9.42,0.0,0.94
9.43,0.0,0.94
9.44,0.0,0.93
9.45,0.0,0.96
9.46,0.0,0.94
9.47,0.0,0.94
9.48,0.0,0.94
9.49,0.0,0.97
9.5,0.0,0.94
9.51,0.0,0.96
9.52,0.0,0.97
9.53,0.0,0.96
9.54,0.0,0.94
9.54,0.0,0.96
9.55,0.0,0.97
9.56,0.0,0.96
9.57,0.0,0.96
9.58,0.0,0.96
9.59,0.0,0.96
9.6,0.0,0.97
9.61,0.0,0.97
9.62,0.0,0.96
9.63,0.0,0.96
9.64,0.0,0.96
9.65,0.0,0.97
9.66,0.0,0.96
9.67,0.0,0.96
9.67,0.0,0.96
9.68,0.0,0.97
9.69,0.0,0.94
9.7,0.0,0.96
9.71,0.0,0.96
9.72,0.0,0.94
9.73,0.0,0.97
9.74,0.0,0.94
9.75,0.0,0.97
9.76,0.0,0.96
9.77,0.0,0.94
9.78,0.0,0.96
9.79,0.0,0.93
